76+76	\boxed{174}
41+54	\boxed{115}
53+64	\boxed{137}
77+57	\boxed{156}
54+33	\boxed{107}
26+23	\boxed{51}
30+66	\boxed{116}
70+16	\boxed{106}
64+15	\boxed{101}
14+65	\boxed{101}
25+67	\boxed{114}
55+30	\boxed{105}
72+42	\boxed{134}
77+53	\boxed{152}
22+73	\boxed{115}
76+32	\boxed{130}
55+47	\boxed{124}
67+77	\boxed{166}
55+61	\boxed{136}
32+56	\boxed{110}
63+75	\boxed{160}
74+40	\boxed{134}
37+63	\boxed{122}
35+62	\boxed{117}
62+30	\boxed{112}
23+46	\boxed{71}
65+66	\boxed{153}
40+44	\boxed{104}
57+70	\boxed{147}
51+46	\boxed{117}
72+62	\boxed{154}
61+41	\boxed{122}
57+62	\boxed{141}
50+35	\boxed{105}
76+10	\boxed{106}
62+43	\boxed{125}
55+26	\boxed{103}
34+77	\boxed{133}
57+14	\boxed{73}
60+46	\boxed{126}
61+45	\boxed{126}
60+34	\boxed{114}
63+75	\boxed{160}
55+73	\boxed{150}
30+50	\boxed{100}
52+35	\boxed{107}
34+37	\boxed{73}
76+56	\boxed{154}
20+72	\boxed{112}
50+42	\boxed{112}
30+67	\boxed{117}
64+63	\boxed{147}
16+32	\boxed{50}
51+56	\boxed{127}
76+34	\boxed{132}
35+33	\boxed{70}
66+72	\boxed{160}
70+72	\boxed{162}
76+37	\boxed{135}
16+63	\boxed{101}
63+65	\boxed{150}
67+13	\boxed{102}
53+32	\boxed{105}
76+17	\boxed{115}
27+71	\boxed{120}
46+34	\boxed{102}
45+55	\boxed{122}
14+17	\boxed{33}
14+26	\boxed{42}
46+76	\boxed{144}
60+57	\boxed{137}
32+54	\boxed{106}
55+30	\boxed{105}
67+15	\boxed{104}
70+36	\boxed{126}
52+44	\boxed{116}
27+60	\boxed{107}
60+76	\boxed{156}
25+71	\boxed{116}
12+74	\boxed{106}
24+34	\boxed{60}
74+57	\boxed{153}
27+52	\boxed{101}
75+71	\boxed{166}
27+53	\boxed{102}
77+52	\boxed{151}
65+62	\boxed{147}
40+51	\boxed{111}
75+11	\boxed{106}
16+55	\boxed{73}
57+36	\boxed{115}
55+71	\boxed{146}
53+16	\boxed{71}
60+64	\boxed{144}
76+12	\boxed{110}
45+54	\boxed{121}
64+57	\boxed{143}
42+17	\boxed{61}
74+26	\boxed{122}
77+41	\boxed{140}
70+56	\boxed{146}
74+11	\boxed{105}
71+35	\boxed{126}
17+12	\boxed{31}
22+72	\boxed{114}
63+55	\boxed{140}
17+66	\boxed{105}
22+47	\boxed{71}
20+66	\boxed{106}
